codigo,planificador,dia planificado,consignador,direccion,zona,tipo,precio,texto facebook 1,texto facebook 2,texto facebook 3,texto whatsapp,imagenes
AL85,LISTA 2,Martes,Cecilia Ardaya,Av Circunvalación esquina Av Villarroel,Cala Cala,Departamento,"2,800 Bs.","Departamento de 3 dormitorios en Alquiler

🚨 Zona Cala Cala
Av Circunvalación y Villarroel

📐 140 m2
🚗 Parqueo
💵 2800 Bs alquiler 

Mayor información 📱 

#AL85 #Cochabamba #departamento #alquiler ","Departamento en Alquiler

3 dormitorios 

🚨 Zona Cala Cala
Av Circunvalación y Villarroel

Mayor información 📱 

📐 140 m2
🚗 Parqueo
💵 2800 Bs alquiler 

#AL85",,"Departamento de 3 dormitorios en Alquiler
🚨 Cala Cala
Av Circunvalación y Av Villarroel

🛋️ Living y Comedor 
🚽 Baño de visitas
🛏️ 2 dormitorios 
🛏️ 1 suite 
🚽 Baño compartido 
🍲 Cocina
🚨 Dependencia de empleada 

Incluye parqueo 🚗 

💵 2800 bs alquiler
💵 2800 bs garantía
💵 1900 bs Comisión inmobiliaria

Agenda una visita sin compromiso 🤝 ","https://drive.google.com/file/d/1B2ioJaXLhSJ8t_kEYdU29Vo6nkDBIxKg/view?usp=drive_link, https://drive.google.com/file/d/1Xy0dnkveG0g8JmWR2SLSSceULm1ymjpm/view?usp=drive_link, https://drive.google.com/file/d/1BLObAeAGK8VRzw39_7bJhwoDLzFwX61g/view?usp=drive_link, https://drive.google.com/file/d/1qKRIhYU5EWvpr1RAtVAXOLuClbA1WC-j/view?usp=drive_link, https://drive.google.com/file/d/1Sr86IYIILvnD3v-cEcZlGVS3bfdg6Nmd/view?usp=drive_link, https://drive.google.com/file/d/1nh5lF9IHw9rgutPXv_mEVf2TXEMF0yZJ/view?usp=drive_link, "
PV26,LISTA 3,Miercoles,Jazmín Heresi,Potosí y Uyuni,Queru Queru,Local Comercial,"132,370 $us.","🔥 𝐋𝐎𝐂𝐀𝐋𝐄𝐒 𝐂𝐎𝐌𝐄𝐑𝐂𝐈𝐀𝐋𝐄𝐒 𝐄𝐍 𝐏𝐑𝐄𝐕𝐄𝐍𝐓𝐀 🔥

📍 Zona estratégica de Cochabamba
  📐Desde 75.64 m² 
 💰Desde $us 132.370

¿Buscas una inversión que genere valor desde el primer día?

✅ Alta plusvalía ✅ Excelente visibilidad ✅ Ubicación privilegiada ✅ Ideal para cafeterías, showrooms, oficinas y comercios

📱 Solicita más información
","🕋 LOCALES COMERCIALES EN PREVENTA – INVERSIÓN ESTRATÉGICA EN COCHABAMBA 🕋

📍 Zona estratégica de alta circulación y crecimiento
📐 Desde 75.64 m²
💰 Desde $us 132.370
💡 Invierte en un espacio que genera valor desde el primer día
✨ Ideal para: 
☕ Cafeterías
🏢 Oficinas
🛍️ Showrooms
🏬 Comercios
📈 Alta plusvalía y excelente visibilidad comercial
📲 Solicita más información

⚡ Las mejores ubicaciones se reservan primero.

#Localcomercial #negocios #estrategia #rentabilidad #Novemta

","🏢 LOCALES COMERCIALES EN PREVENTA

Haz crecer tu patrimonio con una inversión en una ubicación de alto potencial.
📍 Zona de alta circulación en Cochabamba 📐 Desde 75.64 m² 💰 Desde $us 132.370
✨ Ideales para cafeterías, oficinas, showrooms y todo tipo de negocios. 📈 Excelente visibilidad y gran proyección de plusvalía.

📲 Solicita información y asegura una de las mejores ubicaciones antes de que se agoten.
#LocalesComerciales #Inversión #Negocios #Cochabamba #Plusvalía #Noventa","𝐋𝐎𝐂𝐀𝐋𝐄𝐒 𝐂𝐎𝐌𝐄𝐑𝐂𝐈𝐀𝐋𝐄𝐒 𝐄𝐍 𝐏𝐑𝐄𝐕𝐄𝐍𝐓𝐀❗

📍 Av. Uyuni esq. Potosí
 💰 Desde $us 132.370
 📐 Desde 75.64 m²

Excelente oportunidad para invertir, alquilar o desarrollar tu negocio en una ubicación estratégica, rodeada de universidades, comercios, restaurantes y zonas residenciales de constante crecimiento.
Ideal para:
☕ Cafeterías y restaurantes 🛍️ Tiendas y showrooms 🏥 Consultorios médicos y laboratorios 💼 Oficinas corporativas 🛒 Micromercados y servicios especializados

🚀 Invierte hoy en una zona con gran proyección y alta demanda comercial.
📝 Puede agendar su visita con 24 horas de anticipación.
🤝 Usted no paga ninguna comisión.

Si tiene alguna consulta o desea agendar una visita, estoy a su servicio. 🫱🏻‍🫲🏼","https://drive.google.com/file/d/1o-zMzh6ZDdSsjMjpJYk1nECuTv9DFhQz/view?usp=drive_link, https://drive.google.com/file/d/1aDeMZBedYQL0rnmq8FsrFd3oT5p762i3/view?usp=drive_link, https://drive.google.com/file/d/1V8s2zBdt2khMAdzLqvXUKsn5eSRBCy2v/view?usp=drive_link, https://drive.google.com/file/d/1SQcTDawElmc0pBa9VTy8TAcAMMxQ8PCm/view?usp=drive_link, https://drive.google.com/file/d/1U7Eag7UDWUWE6R3yAoyZCmHzTWDpbq9U/view?usp=drive_link, https://drive.google.com/file/d/1_57_4g6LhSQLvJOiNVxVK1lDuNWr_cLi/view?usp=drive_link, https://drive.google.com/drive/folders/1Ck_Up9dvKgLu5_4vMTwgh6FV9AEJbHKu?usp=drive_link, "
AL86,LISTA 1,Jueves,Claudia Campos,Calle Pedro Blanco ,Queru Queru,Oficina / Consultorio,"2,600 Bs.","🏤 OFICINA EN ALQUILER 

🪟Espacio amplio con iluminación natural
📍 Av. Santa Cruz. 
QUERU QUERU 
💰2.600 bs (incluye expensas) 
📐 58m2

📞 Contáctanos hoy mismo y agenda una visita.

✨Ideal para consultorios, empresas de administración..

#Noventa#Alquiler #Oficina #centrico#Cochabamba",,,"🏤 OFICINA EN ALQUILER

🟢 OFICINA A ESTRENAR  DE 58 m2
✅ Ambiente amplio
✅ Baño privado
✅ Seguridad 24 horas. Conserjería diurna.
✅ Ascensor 
✅ Cámaras de seguridad


📣 Apto para consultorio medico, despacho aduanero, oficina contable y/o marketing.

📣  El alquiler incluye expensas.

 💰  2.600 bs.
💰Garantía 2.600 Bs. 
💰 Comisión inmobiliaria 1300 Bs

⚡ Medidor de luz independiente
🕒 Disponibilidad inmediata

agenda una visita ❗","https://drive.google.com/file/d/1zKqc4f9WySv9SIE2hOiLqd1eJZIm4CBp/view?usp=drive_link, https://drive.google.com/file/d/1jsUcF83yLlbW_NSuhbgImNJQyBxN9lRe/view?usp=drive_link, https://drive.google.com/file/d/1BSF8c8m-tLxsykHyilyvISLphzIozPz4/view?usp=drive_link, https://drive.google.com/file/d/1odVFTmn8XsVufAJc-zu7sTE9-TBPZwGc/view?usp=drive_link, https://drive.google.com/file/d/1XA8DmicqLhe6R-jvHIyj3aTz1X-b9tYZ/view?usp=drive_link, https://drive.google.com/file/d/1gso_lvg3j-6iWPGnFsabOoleCWPZu-rp/view?usp=drive_link, "
VN90,LISTA 2,Viernes,Carla Tovar,Calle Baptista casi Uzeda ,Temporal Pampa,Lote,"731,250 $us.","LOTE DE TERRENO 1.625M2 EN VENTA

💡Excelente para proyecto de inversión (edificio o condominio de casas).

📍Temporal Pampa altura Hipermaxi
🗃 Documentación al día
📐 Superficie: 1.625 m2
💵 Precio: 450 $us/m2
Sin comisión inmobiliaria.

📲 Información:

#VN #Terreno #Venta #Temporalpampa
","TERRENO EN VENTA

Si buscas un terreno con potencial para construir y generar rentabilidad, esta es una gran alternativa.

📍 Temporal Pampa, altura Hipermaxi Circunvalación.
📐 1.625 m² de superficie
💵 Precio: $us 450 por m²
🗃️ Documentación al día y lista para transferencia

Solicita información y coordina una visita.
📲

🚫 SIN COMISIÓN INMOBILIARIA

#VN90","TERRENO EN VENTA

💰 Una excelente oportunidad para desarrollar un proyecto inmobiliario de alta rentabilidad.

📍 Temporal Pampa, altura Hipermaxi Circunvalación.
📐 Superficie: 1.625 m²
💵 Precio: $us 450/m²
🗃️ Documentación al día

📲 Solicita más información:

🚫 SIN COMISIÓN INMOBILIARIA

#VN #Terreno #Venta #TemporalPampa","LOTE DE TERRENO 1.625M2 EN VENTA

ZONA: Temporal Pampa altura Hipermaxi
📍DIRECCION: Calle Bautista casi Uzeda

🗃 Documentación al día
📐 Superficie: 1.625 m2
💵 Precio: 450 $us/m2
💲 Pago total en dólares
Sin comisión inmobiliaria.

Tiene un desnivel en pendiente hacia la Circunvalación de 3 a 4 metros.
Tiene una pequeña casa y medias aguas como únicas construcciones.
Zona residencial con acceso a todos los servicios.

Agende su visita📝","https://drive.google.com/file/d/1OCegU7kvIFN-ORaoGiLRUhn7hbEuhcT9/view?usp=drive_link, https://drive.google.com/file/d/1AxhAMHm0_RBk5p6y8hcnKft2vzpwtd6p/view?usp=drive_link, https://drive.google.com/file/d/1einuhYopyq3U0GJIBVWsnHyVwEocXcAk/view?usp=drive_link, https://drive.google.com/file/d/15ta3wB8P2VYAa4CXqkUKsgdcekw8pdvh/view?usp=drive_link, "
PV27,LISTA 3,Sabado,Jazmín Heresi,UYUNI Y MIGUEL DE AGUIRRE ,Tupuraya,Local Comercial,"83,862 $us.","🏢 LOCAL COMERCIAL EN PREVENTA 
✨ Excelente oportunidad de inversión para cafetería,boutique o cualquier negocio.

📍 Av. Uyuni
Tupuraya 
📐 Superficie: 46.59 m²
💰 Precio al contado: $us 83,862
💲 Valor por m²: $us 1,800

📅 Entrega: Julio 2029

Un local pensado para negocios que quieren crecer desde el primer día..

📱 Más información 

#inversión #venta #localcomercial #lujo #Noventa #90","💎 LOCAL COMERCIAL EN PREVENTA – INVERSIÓN SEGURA EN TUPURAYA 💎

📍 Av. Uyuni – Tupuraya
🏙️ Zona de alto crecimiento y valorización comercial
🏢 Local comercial en venta
📐 46.59 m²
💰 $us 83,862 (contado)
📊 $us 1,800 por m²
📅 Entrega: Julio 2029
✨ Ideal para cafetería, boutique, oficina o negocio propio
📈 Una inversión pensada para crecer desde el primer día

📲 asegura tu espacio en etapa de preventa contáctame! 

#tiendas #comercial #negocios #rentabilidad #Noventa","🚀 Tu próximo negocio comienza con una buena ubicación.

🏢 Local comercial en preventa en Tupuraya.
📍 Av. Uyuni 📐 46.59 m² 💰 $us 83.862 al contado 📊 $us 1.800/m² 📅 Entrega: Julio 2029
✨ Ideal para cafeterías, boutiques, oficinas o cualquier emprendimiento. 📈 Invierte en una zona con gran proyección de crecimiento y plusvalía.

📲 Contáctame y asegura tu local al mejor precio de preventa.
#LocalesComerciales #Preventa #Tupuraya #Inversión #Negocios #Cochabamba #Noventa","🏢 LOCAL COMERCIAL EN PREVENTA | PROYECTO EXCLUSIVO

📍 Av. Uyuni – Zona Tupuraya 
📐 Superficie: 46.59 m²
🚽 Baño 
🎛️ Cocineta
 
💰 Precio al contado: $us 83,862 💲 Valor por m²: $us 1,800

Invierte hoy en un espacio con visión de futuro. Un local comercial diseñado para formar parte de un moderno proyecto residencial que combinará confort, elegancia y una comunidad de alto nivel.

🚀 Beneficios de invertir en preventa: ✔ Precio preferencial de lanzamiento ✔ Alta proyección de plusvalía ✔ Ubicación de creciente desarrollo ✔ Flujo constante de potenciales clientes ✔ Excelente oportunidad para generar ingresos por alquiler o negocio propio

📅 Entrega estimada: Julio 2029

✨ Ideal para cafetería, boutique, pet shop premium, showroom, estudio profesional o cualquier negocio que busque una ubicación estratégica y una imagen sofisticada.

","https://drive.google.com/file/d/1g7We7Te5nTNjRk1MF5iflsmvYTf7KLxI/view?usp=drive_link, https://drive.google.com/file/d/1u84RWVKMZRKSf0Zuea2X5gvrVRT8nBZ6/view?usp=drive_link, https://drive.google.com/file/d/1D48e4H9TUspl4M29lilwQNBlv7uWaL9K/view?usp=drive_link, https://drive.google.com/file/d/1asiBrJhVBxppwxdUd_rNA2ynSz5TlQMV/view?usp=drive_link, https://drive.google.com/file/d/1ERu1Ets_52dnHp6B0tUiKWcb_BLJFp4l/view?usp=drive_link, https://drive.google.com/file/d/1SsLxvGBh3iLUykyr4-MsSmMehx9dkDuj/view?usp=drive_link, "
AL87,LISTA 1,Domingo,Claudia Campos,Calle Pedro Blanco  ,Queru Queru,Oficina / Consultorio,"6,000 Bs.","🏡 Oficina en alquiler

📍 Av. Santa Cruz, 

✅3 ambientes 
💵 6000Bs  
📐 98m2
 Expensas incluidas 

📲 Más información 

#alquiler #Noventa #oficina #cochabamba",,,"Oficina en alquiler 

📍Av. Santa Cruz, cerca de mercados, farmacias, bancos y transporte público.

📐 98m2
✅3 Ambientes 
✅ Cocineta 
✅ 2 Baños

✅ Expensas incluidas 
✅ Alquiler Facturado 
✅ Baño privado
✅ Seguridad 24 horas. Conserjería diurna. 
✅ Ascensor 
✅ Cámaras de seguridad

📣 Apto para consultorio medico, despacho aduanero, oficina contable y/o marketing.
  
💵 6000 Bs. Alquiler 
💵 6000 Bs. Garantía 
💵 3000 Bs. Comisión inmobiliaria

Agenda tu visita ❗","https://drive.google.com/file/d/1cfqsqxyEKHOsdJ6yjUnfMOEqXlWxnQGg/view?usp=drive_link, https://drive.google.com/file/d/1nLzMUQH8Yl7kqCls6tZOX4dTEeudJ22h/view?usp=drive_link, https://drive.google.com/file/d/1jyfip4y0rbikCx8JVUTP_ouYYVHP7pX5/view?usp=drive_link, https://drive.google.com/file/d/1_e8SjBj80eO8xHBK1qvA-SpspCWiTuuZ/view?usp=drive_link, https://drive.google.com/file/d/1IPDOc5JX94KlRaO2uGB0_QjIfDyamNxS/view?usp=drive_link, https://drive.google.com/file/d/14MrA4Zf0oEz4ZALxLq35bANqNbbq4PXx/view?usp=drive_link, "
VN91,LISTA 2,Lunes,Claudia Salazar,C.Potosi esquina Aniceto Padilla ,Recoleta,"Traspaso de negocio ""Mr. Chicken House""","150,000 Bs.","💥 TRASPASO DE RESTAURANTE: 

Restaurante de pollos a la broaster🐥

📍Zona Recoleta
💰 Precio de traspaso: Bs 150.000
INCLUYE TODO EL EQUIPAMIENTO, MOVILIARIO, RECETA SECRETA Y SOUVENIRS.

Contáctame para más información: 📲

Genera ingresos con este emprendimiento en la mejor ubicación de la ciudad

#VN91 #Venta #Recoleta #Cochabamba",,,"
💥 TRASPASO DE NEGOCIO: 
Mr. Chicken House 🐥

💰 Precio de traspaso: Bs 150.000
📍 Alquiler mensual del local: Bs 3.000 
🔒 Garantía: Bs 1.500

Bs 150.000 es lo que paga para adquirir el negocio, incluye:

✅ Marca y nombre comercial 
✅ Equipamiento y maquinaria
✅ Mobiliario completo 
✅ Recetas y procesos 
✅ Packaging 
✅ Materia prima inicial 
✅ Proveedores establecidos 
✅ Sistema de comandas y facturación ✅ Redes sociales 
✅ Capacitación

Bs 3.000 mensuales es el costo de seguir ocupando el local.

🎁 La persona que compre el negocio se lleva de regalo 12 poleras con el logo del negocio 👕","https://drive.google.com/file/d/1G-K3BteL6T9R8Z46cQTtgiZ5zkADv9tc/view?usp=drive_link, https://drive.google.com/file/d/1XDOi8NM0scb3WP3QVDKnnxCW_l71iPSM/view?usp=drive_link, https://drive.google.com/file/d/1gkFebe8w1UMkSfhCU5OGeQHJRS5xQhef/view?usp=drive_link, https://drive.google.com/file/d/1xdd_pPF3wnB2l-syKCm4cOAYGZ-CrqG5/view?usp=drive_link, https://drive.google.com/file/d/1Oio2OzWzwkaGenKl0LBiJMCvQe1TQApt/view?usp=drive_link, "
AL88,LISTA 3,Martes,Claudia Salazar,Av.Aroma casi 16 de Julio ,Centro,Departamento,"1,900 Bs."," GARZONIER A ESTRENAR EN ALQUILER 

📍Av. Aroma 
 Características: 
📐 54 m2
🔸 Living - comedor espacioso y luminoso.
🔸Cocina equipada con cajonería alta y baja.
🔸Baño con cajonera alta y box de vidrio 

#Garzonier #Alquiler #Departamento #Alquiler 
",,,"✨GARZONIER A ESTRENAR✨

 Zona comercial estratégica 
📍Av.Aroma
🔑 Entrega inmediata 

Características:
📐54 m2
🔸 Living - comedor espacioso y luminoso.
🔸Cocina equipada con cajonería alta y baja.
🔸Baño con cajonera alta y box de vidrio 

PAGOS:
Mes de alquiler 1900 bs.
Mes de garantía 1900 bs.
Comisión inmobiliaria 1330 bs. (70%)

Agenda tu visita ahora mismo!","https://drive.google.com/file/d/1AUJPCAL-sMIhcvdF--aun5i1Q6WndIPZ/view?usp=drive_link, https://drive.google.com/file/d/1xRSwZt-mwbIAz5tMboAsPVsTrjBMTgWZ/view?usp=drive_link, https://drive.google.com/file/d/1xOrS2jiVM6SRDj8egi-tOcBNPcWfVFVc/view?usp=drive_link, https://drive.google.com/file/d/1LS83LC9DBVAXrLTBbqhaoWXyVvOEJ2bm/view?usp=drive_link, https://drive.google.com/file/d/1CmIUdu9pxtM_oCiD2z90PwCgJNUlLhY1/view?usp=drive_link, https://drive.google.com/file/d/1JI5xp1MjqxLg9T1QKnmI-ie6ZX-O0KgQ/view?usp=drive_link, "
AL89,LISTA 1,Miercoles,Cecilia Ardaya,Urbanización El Vergel calle 6 casa 74,Quintanilla,Casa,"3,500 Bs.","Casa en Alquiler en Urbanización

📍 Ubicación Zona Quintanilla

📐 Superficie de terreno 270 m2
📐 Superficie construida 110 m2
💵 Alquiler 3.500. Bs
3 dormitorios y servicio

Agenda ahora tú visita 📱

🌳 Jardín
🚗 Garaje 2 movilidades
🛏️ Deposito o dormitorio de servicio

#AL89 #quintanilla #casa#urbanizacion ","Casa en Alquiler 

En Urbanización privada

📍 Ubicación Zona Quintanilla

📐 Superficie de terreno 270 m2
📐 Superficie construida 110 m2
💵 Alquiler 3.500. Bs
3 dormitorios y servicio

Agenda ahora tú visita 📱

🛏️ Dormitorio trasero adicional

#AL89",,"Casa en Alquiler en Urbanización

📍 Ubicación Zona Quintanilla

📐 Superficie de terreno 270 m2
📐 Superficie construida 110 m2

🛋️ Living comedor 
🛏️ 3 dormitorios
🚽 Baño
🍲 Cocina cerrada y equipada con cocina, extractor y refrigerador 
Los dormitorios NO tienen roperos empotrados, pero hay un ropero que puede quedarse en uno de ellos.
Parte trasera: 2 habitaciones y 1 baño. 
💧 Calefón y lavandería 

🌳 Jardín 
🚗 Garaje 2 movilidades

Mes de Alquiler: 3500 bs.
Mes de Garantía: 3500 bs.
Comisión Inmobiliaria 1750 bs. (50%)
Agenda tu visita","https://drive.google.com/file/d/1V4dfgeVNPUAuVDGFlVjEhMFuoVy_mQMV/view?usp=drive_link, https://drive.google.com/file/d/12rEVx4waEKLW30WE5UtuccSd2Myn_F45/view?usp=drive_link, https://drive.google.com/file/d/12n8geI9wrQVsEpn9Cr_HFArYFF4ntBQa/view?usp=drive_link, https://drive.google.com/file/d/10vih1KNGWjeSQbp3C2Y_uwZ0Cbn3fw5x/view?usp=drive_link, https://drive.google.com/file/d/1ysTCYxZPckoIIbHYtA4LZhblIeDnobHp/view?usp=drive_link, https://drive.google.com/file/d/1DJwufZ5O8d7WxEHwsWmFfAHal0Ha2-39/view?usp=drive_link, "
AL90,LISTA 2,Jueves,Claudia Salazar,C.Venezuela,Centro,Local Comercial,"3,200 Bs.","Facebook 

✨🏢 ¡LOCAL COMERCIAL U OFICINA EN ALQUILER ✨🏢 

💡 Perfecta para abogados, notarios peluquería, salón de uñas y cafetería exprés 

📍 Inmediaciones de la Alcaldía 
Precio Alquiler : 3200Bs.

✅  Local comercial independiente 
✅  1 Ambiente luminoso
✅  Baño propio 


📲 Más información
 
#AL90 #LocalAlquiler #oficina#Local #Comercial #prado","✨🏢OFICINA EN ALQUILER ✨🏢 

💡 Perfecta para abogados, notarios peluquería, salón de uñas y cafetería exprés 

📍 Inmediaciones de la Alcaldía 
Precio Alquiler : 3200Bs.

📲 Más información
 
✅  Local comercial independiente 
✅  1 Ambiente luminoso
✅  Baño propio 

#AL90",,"✨🏢 ¡LOCAL COMERCIAL U OFICINA EN ALQUILER ✨🏢 
 
​📍 Centro inmediaciones de la Alcaldía 
Ubicación Premium: En el corazón estratégico de la ciudad.
 
✨ Características:
✅  Local/oficina  vista a la calle 
✅ Ambientes independiente 
✅ 1 Baño
✅ Incluye  luz y agua
​
🚗 Facilidad de Acceso: Cerca de Avenidas principales y transporte público y zonas comerciales.
​📏 Distribución Funcional: Lista para adaptarse a tus necesidades

💡 Perfecta para  estudios jurídicos, estéticas, fisioterapeutas, salón de belleza y uñas 

💰 Alquiler:
– Bs 3200 mensual 
- Bs 3200 mes de Garantía
- Bs 1600 Comisión Inmobiliaria 

Agenda tu visita ❗","https://drive.google.com/file/d/1WV9rQQGYEgJFgK5DWGo-sUCaWqEqz8S1/view?usp=drive_link, https://drive.google.com/file/d/1dhygEQfbD33BmGn-wsa8pBQ4241jqlKa/view?usp=drive_link, https://drive.google.com/file/d/1ryEAsqrEb1NgHiFn127c7czDZDZG7EIn/view?usp=drive_link, https://drive.google.com/file/d/1neznw7AnqXShGYeuBAnVxA1uxS7u2OWk/view?usp=drive_link, https://drive.google.com/file/d/1pTv86OMoc3iIkrZxwvHTra98tq9Trzld/view?usp=drive_link, "
AL91,LISTA 3,Viernes,Claudia Campos,Pedro Blanco ,Queru Queru,Oficina / Consultorio,"3,000 Bs.","🏡 Oficina en alquiler 

A una cuadra de la Av. Santa Cruz, cerca de mercados, farmacias, bancos y transporte público.

📍3 Ambientes 
📍 Sala de reuniones 
📍 Cocineta 
📍 2 Baños
  
💵 3000 Bs Alquiler 
✅ Expensas incluidas 

Consultas y visitas al:
📲

#AL91 #Cochabamba #alquiler #Oficina #viralbolivia ","🏡 Oficina en alquiler 

A una cuadra de la Av. Santa Cruz, 

📍3 Ambientes 
📍 Sala de reuniones 
📍 Cocineta 
📍 2 Baños
  💵 3000 Bs Alquiler 
✅ Expensas incluidas 

Consultas y visitas al:
📲

cerca de mercados, farmacias, bancos y transporte público.

#AL91 ",,"🏡 Oficina en alquiler 

A una cuadra de la Av. Santa Cruz, cerca de mercados, farmacias, bancos y transporte público.

📍Superficie: 89 m2
📍3 Ambientes 
📍 Sala de reuniones 
📍 Cocineta 
📍 2 Baños
  
✅ Expensas incluidas 
✅ Baño privado
✅ Seguridad 24 horas. Conserjería diurna. 
✅ Ascensor 
✅ Cámaras de seguridad

📣 Apto para consultorio medico, despacho aduanero, oficina contable y/o marketing.
📣  El alquiler incluye expensas.

💵 3000 Bs. Alquiler 
💵 3000 Bs. Garantía 
💵 1500 Bs. Comisión inmobiliaria ","https://drive.google.com/file/d/1jiHy5pZBNiO9BuGDXs1cn9VIp6lHmJF2/view?usp=drive_link, https://drive.google.com/file/d/1FUI_tiSQuFe_jrMcDj2wPYkhnGOhrrhk/view?usp=drive_link, https://drive.google.com/file/d/1rmNOkFm96x41SwL8pN19lQL7cOf9g4Ce/view?usp=drive_link, https://drive.google.com/file/d/1VeSWuFc8-2n8lXzE7aH1-A4MaW1kK32W/view?usp=drive_link, https://drive.google.com/file/d/1Bw4WS8Fk2K7Cpvziv1_ZKBRGJtZhLKHD/view?usp=drive_link, https://drive.google.com/file/d/1TFnskB6q993BWCdQ3lbiIT84Q8hKMbJP/view?usp=drive_link, "
VN92,LISTA 1,Sabado,Claudia Salazar,"Av. américa 
Edif los Sauces ",Cala Cala,Departamento,"171,600 $us.","🏬✨ DEPARTAMENTO EN VENTA✨🏬

📍 Cala Cala (Av. América ) zona de alta plusvalía con bastante movimiento comercial, cerca de farmacias, Colegios Cafeterías, Bancos 

💵 Precio: 171.600$ 
Tipo de cambio al paralelo del día 
📐Superficie: 199 m2 

Más información 📲 

#90 #Cochabamba #Departamento #venta",,,"🏬✨ AMPLIO DEPARTAMENTO EN VENTA✨🏬

📍 Cala Cala (Av. América)
Zona de alta plusvalía, rodeada de comercios, entidades bancarias, farmacias, colegios y una amplia oferta gastronómica.

💵 Precio: 171.600 $ 
Tipo de canbio paralelo del día 

📐Superficie: 199 m2 

🎛️ Cocina cerrada con cajonería alta y baja 
🛌🏻 1 Máster Suite y 2 Suites con roperos empotrados 
🚽 4 baños 
🛑 Área de servicio 
🐶 Pet Friendly 
✅ Vista a la calle
☀️ Orientación Norte
🚗 Opción de compra de parqueo $us 10.000
🛗 2 Ascensores 
✨ 2 departamentos por piso.

Amenidades:
💃🏻🕺🏻Salón de eventos capacidad para 100 personas
🏊 Piscina 
🥩 Parrilleros

🚀 ¡No pierdas esta oportunidad! Agenda tu visita y conoce personalmente todo el potencial de esta propiedad. 🏡✨","https://drive.google.com/file/d/1Gr5XJGL8mwziFtN8tihlORwbCMnAISs0/view?usp=drive_link, https://drive.google.com/file/d/1vvwWls9_8qghBYm_bMTv9maHDg0gaWu1/view?usp=drive_link, https://drive.google.com/file/d/105aj2pHB6L4VI3Nf9DJUnBcHGxfXKLlJ/view?usp=drive_link, https://drive.google.com/file/d/1-JeU3MtTfPHWK4eaqDElyxKQPk84kg5l/view?usp=drive_link, https://drive.google.com/file/d/1LClSRSv4cZMbqPweEdbiXLgdez7SFgpj/view?usp=drive_link, https://drive.google.com/file/d/12yVcqPgHeopn_5Q7LKDybQZYU5X__gw9/view?usp=drive_link, "
VN93,LISTA 2,Domingo,Claudia Salazar,Av América edificio los Sauces ,Cala Cala,Departamento,"165,000 $us.","🏬✨ AMPLIO DEPARTAMENTO EN VENTA✨🏬

📍 Cala Cala (Av. América)
📐Superficie: 196 m2 
🎛️ Cocina cerrada con cajonería alta y baja 
🛌🏻 1 Máster Suite y 2 Suites con roperos empotrados 
🚽 4 baños 
🚗 Parqueo y baulera 
💵 Precio: 165.000 $ 
Tipo de cambio paralelo del día.

Más información 📱

🚀 ¡No pierdas esta oportunidad! Agenda tu visita y conoce personalmente todo el potencial de esta propiedad. 🏡✨",,,"🏬✨ AMPLIO DEPARTAMENTO EN VENTA✨🏬

📍 Cala Cala (Av. América)
Zona de alta plusvalía, rodeada de comercios, entidades bancarias, farmacias, colegios y una amplia oferta gastronómica.

💵 Precio: 165.000 $us
Tipo de cambio paralelo del día 

📐Superficie: 196 m2 
🎛️ cocina cerrada con cajonería alta y baja 
🛌🏻 1 Máster Suite y 2 Suites con roperos empotrados 
🚽 4 baños (1 con bañera y la Master suite con jacuzzi)
🛑 Área de servicio 
🚾 Área de lavandería 
🔶 2 balcones 
🐶 Pet Friendly 
✅ Vista a la calle
☀️ Orientación Norte
🚗 Precio incluye parqueo y baulera 
🛗 2 Ascensores 
✨ Son 2 departamentos por piso.

Amenidades:
💃🏻🕺🏻Salón de eventos capacidad para 100 personas
🏊 Piscina 
🥩 Parrilleros

🚀 ¡No pierdas esta oportunidad! Agenda tu visita y conoce personalmente todo el potencial de esta propiedad. 🏡✨","https://drive.google.com/file/d/1-R-q2_MufY0Z9fRVhFOgBu8miY01gaHD/view?usp=drive_link, https://drive.google.com/file/d/1tcqfzQdgFFlF8xaZL9a9YGDCQ7Vbqe2v/view?usp=drive_link, https://drive.google.com/file/d/1m5qVzkLwiAOX5eKyLgXpcvZFjF4Aka3W/view?usp=drive_link, https://drive.google.com/file/d/18Ot-0emwBC5WykBBZ7kVjei_0k2tkyMX/view?usp=drive_link, https://drive.google.com/file/d/11CSdXrBXAskD05G0hyES9Sqp-XIw3vmI/view?usp=drive_link, https://drive.google.com/file/d/1I19IDL47CAXvVFycdWTY5y31B6EVup7c/view?usp=drive_link, "
